customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
0001-FGHJK,Female,0,Yes,No,5,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,45.50,225.50,No
0002-ASDWE,Male,1,No,No,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,89.90,89.90,Yes
0003-QWERT,Female,0,Yes,Yes,24,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,No,One year,No,Credit card (automatic),65.30,1530.40,No
0004-ZXCVB,Male,0,No,No,3,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,29.75,89.25,Yes
0005-HJKLO,Female,0,No,No,56,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),99.65,5520.70,No
0006-PLMNB,Male,1,Yes,No,8,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,51.25,410.00,Yes
0007-UYTRW,Female,0,Yes,Yes,40,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,One year,Yes,Credit card (automatic),85.99,3440.50,No
0008-QAZWS,Male,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,75.50,151.00,Yes
0009-EDCRF,Female,0,No,No,12,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,55.00,660.00,No
0010-TGBNH,Male,1,No,No,30,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.50,2865.00,Yes
